CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQRMNOTXXHKMLRCDEIJAH00780377,5,29,1,1.02,2.54
TQRMNOQQTHMLLQCDEIJAH00801980,1,74,1,0.83,1.5
TQRMNOQQTHMLLQCDEIJAH00801980,2,74,2,0.67,1.5
TQSMNOPUTHKMLNCDEIJAH00801985,1,57,2,0.76,0.76
TQRMNOQQYHLMSMCDEIJAH00718815,1,33,2,0.77,0.77
TQRMNOPPWHJLONCDEIIAD00797570,1,45,1,1.0,4.47
TQRMNOPPWHJLONCDEIIAD00797570,2,45,2,0.77,4.47
TQRMNOPPWHJLONCDEIIAD00797570,3,19,2,0.76,4.47
TQRMNOPPWHJLONCDEIIAD00797570,4,17,1,1.04,4.47
TQRMNOPPWHJLONCDEIIAD00797570,5,13,1,0.9,4.47
TQRMNOSRUHLOOOCDEIIAD00797762,2,27,2,0.76,2.83
TQRMNOSRUHLOOOCDEIIAD00797762,3,10,1,0.79,2.83
TQRMNOSRUHLOOOCDEIIAD00797762,4,8,1,0.68,2.83
TQRMNOSRUHLOOOCDEIIAD00797762,5,5,1,0.6,2.83
TQRMNORVWHKNQMCDEIJAH00780520,1,70,2,0.67,1.3
TQRMNORVWHKNQMCDEIJAH00780520,2,82,2,0.63,1.3
TQRMNOSVSHKNQMCDEIJAH00780364,2,36,2,0.77,2.28
TQRMNOSVSHKNQMCDEIJAH00780364,3,16,2,0.77,2.28
TQRMNOSVSHKNQMCDEIJAH00780364,4,12,2,0.74,2.28
TQRMNOQTQHMNNRCDEIJAH00801970,2,78,1,0.74,0.74
TQRMNOPSSHJMORCDEIJAH00794328,1,32,2,0.77,0.77
TQRMNOTXTHKMOOCDEIJAH00780162,2,38,2,0.77,1.91
TQRMNOTXTHKMOOCDEIJAH00780162,3,8,2,0.68,1.91
TQRMNOTXTHKMOOCDEIJAH00780162,4,2,1,0.46,1.91
TQRMNOSWXHLMMMCDEIJAH00801981,1,36,1,1.0,3.69
TQRMNOSWXHLMMMCDEIJAH00801981,2,34,2,0.77,3.69
TQRMNOSWXHLMMMCDEIJAH00801981,3,13,2,0.76,3.69
TQRMNOSWXHLMMMCDEIJAH00801981,4,10,2,0.7,3.69
